id_votante,id_centro,distancia
1,1,0.715146
1,2,1.939783
1,3,1.411655
1,4,1.946799
1,5,0.444479
1,6,0.846828
1,7,1.324921
1,8,0.480975
1,9,1.561696
1,10,0.817777
1,11,1.552644
1,12,1.876454
1,13,1.828822
1,14,0.583917
1,15,1.032847
1,16,0.612173
1,17,0.993046
1,18,0.480937
1,19,0.85009
1,20,0.337873
1,21,0.823701
1,22,0.880095
1,23,1.722825
1,24,1.637951
1,25,0.884808
1,26,1.709679
1,27,1.520103
1,28,0.8397
1,29,1.00226
1,30,1.263101
2,1,0.682099
2,2,1.294753
2,3,0.847764
2,4,1.303247
2,5,0.204434
2,6,0.224716
2,7,0.707334
2,8,0.875334
2,9,1.041948
2,10,0.463517
2,11,0.936752
2,12,1.228814
2,13,1.192595
2,14,0.23219
2,15,0.38548
2,16,0.718674
2,17,0.649781
2,18,0.200399
2,19,0.604621
2,20,0.31006
2,21,0.932526
2,22,0.819054
2,23,1.114931
2,24,0.998988
2,25,0.297032
2,26,1.082992
2,27,0.879437
2,28,0.963104
2,29,0.700896
2,30,0.828962
3,1,0.441176
3,2,1.449931
3,3,0.842191
3,4,1.409552
3,5,0.243783
3,6,0.452264
3,7,0.913612
3,8,0.671127
3,9,0.999011
3,10,0.689109
3,11,1.139026
3,12,1.35876
3,13,1.368757
3,14,0.016623
3,15,0.537469
3,16,0.844948
3,17,0.881607
3,18,0.311391
3,19,0.816608
3,20,0.279797
3,21,1.074948
3,22,1.000628
3,23,1.319974
3,24,1.173576
3,25,0.533721
3,26,1.272974
3,27,1.053103
3,28,1.103028
3,29,0.92791
3,30,1.070831
4,1,0.995985
4,2,0.971677
4,3,0.786282
4,4,1.038304
4,5,0.541942
4,6,0.136229
4,7,0.349647
4,8,1.234888
4,9,1.011565
4,10,0.408225
4,11,0.579329
4,12,0.936505
4,13,0.85096
4,14,0.566305
4,15,0.20913
4,16,0.848274
4,17,0.508616
4,18,0.497859
4,19,0.5619
4,20,0.650779
4,21,1.008048
4,22,0.825746
4,23,0.755863
4,24,0.662398
4,25,0.108258
4,26,0.731714
4,27,0.547492
4,28,1.04019
4,29,0.576647
4,30,0.567429
5,1,1.455935
5,2,2.626528
5,3,1.724171
5,4,2.359091
5,5,2.084465
5,6,2.207902
5,7,2.480341
5,8,1.704463
5,9,1.564379
5,10,2.533105
