id_votante,centro_1,centro_2,centro_3,centro_4,centro_5,centro_6,centro_7,centro_8,centro_9,centro_10,centro_11,centro_12,centro_13,centro_14,centro_15,centro_16,centro_17,centro_18,centro_19,centro_20,centro_21,centro_22,centro_23,centro_24,centro_25,centro_26,centro_27,centro_28,centro_29,centro_30
1,0.715146,1.939783,1.411655,1.946799,0.444479,0.846828,1.324921,0.480975,1.561696,0.817777,1.552644,1.876454,1.828822,0.583917,1.032847,0.612173,0.993046,0.480937,0.85009,0.337873,0.823701,0.880095,1.722825,1.637951,0.884808,1.709679,1.520103,0.8397,1.00226,1.263101
2,0.682099,1.294753,0.847764,1.303247,0.204434,0.224716,0.707334,0.875334,1.041948,0.463517,0.936752,1.228814,1.192595,0.23219,0.38548,0.718674,0.649781,0.200399,0.604621,0.31006,0.932526,0.819054,1.114931,0.998988,0.297032,1.082992,0.879437,0.963104,0.700896,0.828962
3,0.441176,1.449931,0.842191,1.409552,0.243783,0.452264,0.913612,0.671127,0.999011,0.689109,1.139026,1.35876,1.368757,0.016623,0.537469,0.844948,0.881607,0.311391,0.816608,0.279797,1.074948,1.000628,1.319974,1.173576,0.533721,1.272974,1.053103,1.103028,0.92791,1.070831
4,0.995985,0.971677,0.786282,1.038304,0.541942,0.136229,0.349647,1.234888,1.011565,0.408225,0.579329,0.936505,0.85096,0.566305,0.20913,0.848274,0.508616,0.497859,0.5619,0.650779,1.008048,0.825746,0.755863,0.662398,0.108258,0.731714,0.547492,1.04019,0.576647,0.567429
5,1.455935,2.626528,1.724171,2.359091,2.084465,2.207902,2.480341,1.704463,1.564379,2.533105,2.631191,2.444183,2.674719,1.857295,2.106358,2.656238,2.71642,2.161154,2.669447,2.06676,2.890333,2.849694,2.78572,2.530651,2.298906,2.672811,2.44687,2.914322,2.770063,2.849216
6,1.266784,1.134187,0.488253,0.829481,1.486359,1.291054,1.258716,1.73761,0.283217,1.667648,1.308167,0.945152,1.23091,1.268536,1.06551,2.037714,1.777672,1.516908,1.825719,1.554975,2.237978,2.083316,1.41226,1.144229,1.352642,1.280204,1.106803,2.269694,1.84633,1.763271
7,0.990179,1.571217,1.295869,1.654419,0.360014,0.524124,0.916933,0.965594,1.497512,0.308661,1.127992,1.550767,1.431422,0.603527,0.763329,0.260367,0.465107,0.291574,0.319079,0.38065,0.478014,0.410867,1.280435,1.255507,0.507974,1.295729,1.148852,0.507645,0.471158,0.74236
8,0.90392,1.156007,0.889356,1.215436,0.373127,0.087179,0.525067,1.087381,1.105529,0.299039,0.752825,1.118423,1.033186,0.455362,0.326627,0.686401,0.457987,0.319585,0.456753,0.47988,0.865911,0.706893,0.924785,0.846024,0.085059,0.91032,0.731735,0.897978,0.517901,0.607675
9,1.209778,0.957221,0.979329,1.094843,0.684667,0.330781,0.301959,1.405017,1.207425,0.342883,0.4966,0.967656,0.805601,0.767098,0.424433,0.81545,0.347755,0.6206,0.458759,0.787334,0.927581,0.717148,0.6484,0.641812,0.2454,0.665669,0.549388,0.958632,0.415593,0.3376
10,1.203085,0.597469,0.611661,0.651702,0.898606,0.503944,0.218027,1.532045,0.831088,0.769534,0.338352,0.546953,0.507802,0.845266,0.324264,1.23032,0.808819,0.869443,0.908091,1.006459,1.372421,1.171731,0.508401,0.313031,0.497842,0.426936,0.193524,1.404183,0.87665,0.731817
